Property Name,Property Code,Brand,#Rooms,Activation Date,Revenue,Profit Margin,Gross Profit,Flag,Size Subset,SPOR,Group,Type
Hilton Garden Inn Times Square,NYCMW,Hilto,369.0,2017-10-27,48190.59,0.7297,35164.64,Hilton Garden Inn,5,6.272227152478616,Select Service,Focused Service
InterContinental New Orleans,MSYHA,IHG,484.0,2018-09-20,22829.8,0.67301,15364.72,InterContinental,5,2.2653882633641413,Full Service,Full Service
DoubleTree Suites by Hilton Hotel Boston - Cambridge,BOSSB,Hilto,308.0,2018-06-11,22488.7,0.69884,15715.96,DoubleTree by Hilton,5,3.5067074451655844,Full Service,Full Service
Crowne Plaza Lansing West,LANCP,IHG,212.0,2018-10-26,611.0,0.60129,367.39,Crowne Plaza,5,0.13841757942224003,Full service,Full service
Homewood Suites Savannah Historic District,SAVRB,Hilto,162.0,2018-04-10,14439.6,0.63231,9130.27,Homewood Suites by Hilton,4,4.280810952728576,All Suites,All Suites
Embassy Suites Portland Washington Square,PDXBV,Hilto,356.0,2015-12-17,13588.0,0.62689,8518.14,Embassy Suites,5,1.8331223021210035,All Suites,All Suites
Homewood Suites New Orleans,MSYFR,Hilto,207.0,2017-07-20,12986.85,0.67318,8742.55,Homewood Suites by Hilton,5,3.01314047897863,All Suites,All Suites
Home2 Suites by Hilton Los Angeles Montebello,LGBMO,Hilto,203.0,2018-09-19,12807.53,0.70291,9002.53,Home2 Suites by Hilton,5,3.0300880234072953,All Suites,Focused Service
Embassy Suites Orlando Airport,MCOAT,Hilto,174.0,2018-02-02,11562.54,0.71074,8217.98,Embassy Suites,4,3.1914636392181595,All Suites,All Suites
Embassy Suites Orlando - International Drive / Convention Center,MCOOR,Hilto,244.0,2016-12-04,11148.42,0.65924,7349.5,Embassy Suites,5,2.1943676711510802,All Suites,All Suites
Hampton Inn Manhattan Times Square Central,NYCFF,Hilto,300.0,2015-07-01,10465.28,0.53745,5624.54,Hampton Inn by Hilton,5,1.6753883787349035,Select Service,Focused Service
Hilton Garden Inn Seattle Bellevue Downtown,SEABE,Hilto,254.0,2018-05-09,10438.75,0.61846,6455.97,Hilton Garden Inn,5,1.9737888032082975,Select Service,Focused Service
Embassy Suites by Hilton Miami International Airport,MIASP,Hilto,318.0,2018-02-06,9729.87,0.63859,6213.38,Embassy Suites,5,1.4694872378538686,All Suites,All Suites
Embassy Suites Crystal City National Airport,WASCR,Hilto,267.0,2015-09-25,9226.64,0.72738,6711.25,Embassy Suites,5,1.6596565163027905,All Suites,All Suites
Hilton Garden Inn Staten Island,ewrsi,Hilto,198.0,2015-03-03,8783.25,0.67293,5910.52,Hilton Garden Inn,4,2.1304726094463673,Select Service,Focused Service
Crowne Plaza Baltimore,IHG-BALWB,IHG,385.0,2018-06-08,850.75,0.6979,593.74,Crowne Plaza,5,0.10612730336478751,Full service,Full service
Embassy Suites by Hilton Laredo,LRDES,Hilto,320.0,2018-02-16,7006.8,0.6293,4409.36,Embassy Suites,5,1.051612268029354,All Suites,All Suites
Hilton Denver Inverness,DENIR,Hilto,302.0,2018-02-15,6934.46,0.67363,4671.29,Hilton Hotels & Resorts,5,1.1027869174064528,Full Service,Full Service
Hampton Inn & Suites LAX El Segundo,LAXEL,Hilto,171.0,2018-06-22,6792.64,0.67054,4554.75,Hampton Inn & Suites by Hilton,4,1.9077804268486815,Select Service,Focused Service
Homewood Suites Denver Downtown Convention Center,DENDC,Hilto,182.0,2013-10-14,6770.73,0.69094,4678.19,Homewood Suites by Hilton,4,1.7866932986328228,All Suites,All Suites
Hilton Garden Inn New York Long Island City,ISPIC,Hilto,183.0,2015-09-16,6652.86,0.72876,4848.35,Hilton Garden Inn,4,1.7459958038531234,Select Service,Focused Service
Hilton Garden Inn Chicago McCormick Place,CHIMK,Hilto,466.0,2018-08-07,6536.0,0.70282,4593.65,Hilton Garden Inn,5,0.6736154317132867,Select Service,Focused Service
DoubleTree Suites Salt Lake City Downtown,SLCWS,Hilto,241.0,2016-03-04,6305.33,0.63527,4005.59,DoubleTree by Hilton,5,1.256541044912345,Full Service,Full Service
Embassy Suites Minneapolis Airport,MSPAP,Hilto,310.0,2018-05-09,6216.95,0.63964,3976.6,Embassy Suites,5,0.9631669717675316,All Suites,All Suites
Hilton Garden Inn New York/West 35th Street,NYCTF,Hilto,298.0,2018-11-13,6131.29,0.66009,4047.19,Hilton Garden Inn,5,0.9881468598819552,Select Service,Focused Service
Embassy Suites Lombard,CHILM,Hilto,262.0,2016-09-14,6089.75,0.61332,3734.99,Embassy Suites,5,1.1163080940315355,All Suites,All Suites
Hampton Inn Indianapolis Dwtn Across from Circle Centre,INDDT,Hilto,180.0,2018-01-16,5962.39,0.57799,3446.19,Hampton Inn by Hilton,4,1.590866642759869,Select Service,Focused Service
Hilton Garden Inn Los Angeles Montebello,LGBMB,Hilto,121.0,2015-03-30,5852.52,0.69592,4072.88,Hilton Garden Inn,3,2.322969122656161,Select Service,Focused Service
Embassy Suites Seattle - Bellevue,SEABL,Hilto,240.0,2016-03-09,5806.39,0.57875,3360.46,Embassy Suites,5,1.1619324003278646,All Suites,All Suites
Embassy Suites San Diego La Jolla,SANLJ,Hilto,450.0,2018-02-22,5653.62,0.60172,3401.88,Embassy Suites,5,0.6033926307296268,All Suites,All Suites
La Quinta Inn & Suites Atlanta Airport North,6739,Wyndh,188.0,2016-10-04,5469.5,0.69502,3801.41,La Quinta Inn & Suites,4,1.3972550191331585,Other,Other
Hilton Garden Inn Washington DC Bethesda,WASBT,Hilto,216.0,2015-04-14,5188.24,0.73785,3828.13,Hilton Garden Inn,5,1.1535919251944915,Select Service,Focused Service
Embassy Suites Bloomington,MSPWE,Hilto,234.0,2015-10-19,5158.69,0.598,3084.91,Embassy Suites,5,1.0587891305511468,All Suites,All Suites
Hilton Garden Inn New Orleans French Quarter CBD,MSYOR,Hilto,155.0,2016-01-16,4994.83,0.66196,3306.36,Hilton Garden Inn,4,1.5476577053357738,Select Service,Focused Service
Hilton Garden Inn New York Midtown Park Ave,NYCET,Hilto,232.0,2015-10-15,4928.68,0.62268,3069.0,Hilton Garden Inn,5,1.0203015303736305,Select Service,Focused Service
Homewood Suites San Diego Airport Liberty Station,SANLS,Hilto,150.0,2014-10-21,4697.8,0.57722,2711.68,Homewood Suites by Hilton,4,1.504143133412738,All Suites,All Suites
DoubleTree by Hilton Deadwood at Cadillac Jack's,RAPDW,Hilto,107.0,2018-12-28,4670.48,0.49044,2290.61,DoubleTree by Hilton,3,2.096349262035219,Full Service,Full Service
Tru by Hilton Fort Wayne North,FWARU,Hilto,92.0,2018-06-27,4583.42,0.58005,2658.6,Tru by Hilton,2,2.39269713224227,Select Service,Focused Service
Embassy Suites Dallas Love Field,DALLF,Hilto,248.0,2016-11-02,4454.75,0.6001,2673.29,Embassy Suites,5,0.8626955475517359,All Suites,All Suites
Homewood Suites by Hilton Odessa,MAFOD,Hilto,121.0,2017-10-09,4438.64,0.63059,2798.95,Homewood Suites by Hilton,3,1.761775041620796,All Suites,All Suites
Hilton Garden Inn Houston Hobby Airport,HOUMR,Hilto,136.0,2018-11-20,4411.03,0.59884,2641.48,Hilton Garden Inn,3,1.5577114207192078,Select Service,Focused Service
Tru By Hilton Lake Charles,LCHRU,Hilto,98.0,2018-05-23,4289.83,0.71621,3072.43,Tru by Hilton,2,2.1023252540728894,Select Service,Focused Service
Tru by Hilton Raleigh Durham Airport,RDUAT,Hilto,106.0,2018-08-20,4276.43,0.65004,2779.87,Tru by Hilton,3,1.9375878532525366,Select Service,Focused Service
Tru by Hilton San Antonio Downtown,SATDO,Hilto,94.0,2018-04-25,4240.68,0.55837,2367.88,Tru by Hilton,2,2.1666738877548597,Select Service,Focused Service
Hampton Inn & Suites Pittsburgh Downtown,PITDN,Hilto,143.0,2014-12-30,4164.67,0.58485,2435.72,Hampton Inn & Suites by Hilton,3,1.3987189473223207,Select Service,Focused Service
Hampton Inn & Suites Denver Downtown Convention Center,DENCV,Hilto,120.0,2013-10-14,4085.33,0.68984,2818.21,Hampton Inn & Suites by Hilton,3,1.6350528617717497,Select Service,Focused Service
Hilton Garden Inn Denver Airport,DENAH,Hilto,157.0,2013-10-10,4081.1,0.63696,2599.49,Hilton Garden Inn,4,1.248427955388806,Select Service,Focused Service
Tru by Hilton Chicopee Springfield,BDLRU,Hilto,108.0,2018-06-13,4078.49,0.61355,2502.34,Tru by Hilton,3,1.8136836888757968,Select Service,Focused Service
Hampton Inn & Suites Hood River,PDXHR,Hilto,88.0,2018-09-17,4074.6,0.56596,2306.05,Hampton Inn & Suites by Hilton,2,2.223761513393434,Select Service,Focused Service
Hilton Garden Inn San Antonio Live Oak Convention Center,SATLI,Hilto,138.0,2017-06-27,4072.16,0.62878,2560.48,Hilton Garden Inn,3,1.417201646228025,Select Service,Focused Service
Hotel MdR Marina Del Ray - a DoubleTree by Hilton,LAXMA,Hilto,283.0,2018-01-23,4016.41,0.59074,2372.65,DoubleTree by Hilton,5,0.6816124353603439,Full Service,Full Service
Hampton Inn & Suites Columbia South,BALCO,Hilto,124.0,2015-06-30,4005.79,0.51703,2071.11,Hampton Inn & Suites by Hilton,3,1.5515021931319462,Select Service,Focused Service
"Hampton Inn & Suites Roseburg, OR",OTHRO,Hilto,90.0,2018-04-22,3947.85,0.59791,2360.47,Hampton Inn & Suites by Hilton,2,2.106706497099166,Select Service,Focused Service
Hilton Garden Inn Palo Alto,PAOCR,Hilto,174.0,2015-03-05,3855.86,0.73091,2818.27,Hilton Garden Inn,4,1.0642849225097366,Select Service,Focused Service
Embassy Suites Seattle North Lynnwood,SEALW,Hilto,240.0,2018-02-23,3753.49,0.5986,2246.85,Embassy Suites,5,0.7511210313648646,All Suites,All Suites
Hilton Garden Inn Greenville,GSPGV,Hilto,120.0,2018-04-23,3731.87,0.5997,2238.01,Hilton Garden Inn,3,1.4935891894314877,Select Service,Focused Service
Hilton Richmond Downtown,RICRD (RICDT),Hilto,250.0,2015-10-19,3692.5,0.71619,2644.53,Full Services,5,0.709359511276751,Other,Other
Embassy Suites by Hilton Memphis,MEMPE,Hilto,220.0,2018-01-31,3619.0,0.71069,2572.0,Embassy Suites,5,0.7900449533177084,All Suites,All Suites
Hilton Garden Inn Salina,SLNTC,Hilto,97.0,2018-07-22,3573.46,0.48245,1724.02,Hilton Garden Inn,2,1.7693065765567002,Select Service,Focused Service
Hilton Garden Inn Omaha East Council Bluffs,OMAEA,Hilto,153.0,2015-03-20,3555.52,0.57612,2048.39,Hilton Garden Inn,4,1.1160858344439195,Select Service,Focused Service
Hilton Garden Inn Seattle Issaquah,SEAIS,Hilto,179.0,2015-11-03,3536.45,0.67412,2383.99,Hilton Garden Inn,4,0.948856183512051,Select Service,Focused Service
Tru by Hilton Fayetteville I-95,FAYRU,Hilto,109.0,2018-12-20,3515.32,0.64663,2273.11,Tru by Hilton,3,1.5489031679522642,Select Service,Focused Service
Tru by Hilton North Platte,LBFRU,Hilto,98.0,2018-05-14,3514.52,0.58406,2052.7,Tru by Hilton,2,1.7223675884462208,Select Service,Focused Service
Hilton Garden Inn Abilene,ABIAB,Hilto,123.0,2015-03-19,3488.95,0.61091,2131.45,Hilton Garden Inn,3,1.3623087156833067,Select Service,Focused Service
Tru By Hilton Cedar Rapids Westdale,CIDRU,Hilto,95.0,2018-02-16,3466.58,0.66465,2304.05,Tru by Hilton,2,1.7525221783856035,Select Service,Focused Service
Tru by Hilton Salt Lake City Airport,SLCRU,Hilto,95.0,2018-03-28,3418.67,0.57058,1950.62,Tru by Hilton,2,1.7283013793368425,Select Service,Focused Service
Tru By Hilton St. Charles St. Louis,STLMO,Hilto,87.0,2018-06-21,3397.32,0.53776,1826.93,Tru by Hilton,2,1.8754396959125998,Select Service,Focused Service
Homewood Suites Harrisburg West Hershey Area,HARHW,Hilto,116.0,2015-06-13,3394.33,0.55463,1882.59,Homewood Suites by Hilton,3,1.4053418333481278,All Suites,All Suites
Tru by Hilton Madison West,MSNCB,Hilto,106.0,2018-04-11,3347.24,0.5852,1958.8,Tru by Hilton,3,1.5165854616867387,Select Service,Focused Service
Hilton Garden Inn Portland Downtown Waterfront,PWMDH,Hilto,120.0,2018-01-31,3346.65,0.46672,1561.95,Hilton Garden Inn,3,1.3394143581665194,Select Service,Focused Service
DoubleTree Annapolis,ANPDT,Hilto,224.0,2016-08-05,3323.12,0.67147,2231.36,DoubleTree by Hilton,5,0.7124984219683954,Full Service,Full Service
Doubletree by Hilton Denver Tech Center,DENEW,Hilto,305.0,2016-11-22,3305.09,0.68739,2271.9,DoubleTree by Hilton,5,0.5204384223949026,Full Service,Full Service
Hilton Garden Inn Jacksonville Downtown Southbank,JAXSB,Hilto,123.0,2018-12-17,3235.0,0.65134,2107.07,Hilton Garden Inn,3,1.2631504307128212,Select Service,Focused Service
Tru by Hilton Meridian Boise West,BOIMW,Hilto,92.0,2018-04-21,3204.35,0.62288,1995.93,Tru by Hilton,2,1.6727768905534552,Select Service,Focused Service
Hampton Inn & Suites Syracuse North Airport Area,SYRNA,Hilto,105.0,2018-06-01,3172.71,0.59571,1890.03,Hampton Inn & Suites by Hilton,3,1.4511990295791732,Select Service,Focused Service
Home2 Suites by Hilton Irving / DFW Airport North,DALIV,Hilto,93.0,2018-09-27,3166.99,0.62278,1972.33,Home2 Suites by Hilton,2,1.6354965955535832,All Suites,Focused Service
DoubleTree by Hilton Hotel San Francisco Airport,SFOAO,Hilto,395.0,2018-05-24,3141.42,0.60761,1908.76,DoubleTree by Hilton,5,0.3819572955640515,Full Service,Full Service
Tru By Hilton Charlotte Ayrsley,CLTCA,Hilto,92.0,2018-04-27,3111.23,0.58162,1809.55,Tru by Hilton,2,1.624165164603313,Select Service,Focused Service
Crowne Plaza Baltimore,IHG-BALWB,IHG,385.0,2018-06-08,1791.0,0.71103,1273.46,Crowne Plaza,5,0.22341933626369018,Full service,Full service
Hampton Inn Asheville-Tunnel Rd.,AVLTU,Hilto,120.0,2016-05-27,3036.25,0.53471,1623.51,Hampton Inn by Hilton,3,1.2151843918494896,Select Service,Focused Service
Homewood Suites by Hilton Ft.Lauderdale Airport-Cruise Port,FLLAR,Hilto,124.0,2018-08-29,3029.75,0.54766,1659.28,Homewood Suites by Hilton,3,1.1734673484235354,All Suites,All Suites
Hampton Inn & Suites Asheville Biltmore Area,AVLBA,Hilto,114.0,2018-09-19,2986.2,0.54845,1637.78,Hampton Inn & Suites by Hilton,3,1.258055905507034,Select Service,Focused Service
Hilton Garden Inn Orlando Airport,ORLAH,Hilto,132.0,2013-11-21,2984.34,0.69566,2076.09,Hilton Garden Inn,3,1.0858260827043245,Select Service,Focused Service
The Saratoga Hilton (Gift Shop),ALBSA:Gift Shop,Hilto,245.0,2017-07-17,2973.2,0.58459,1738.09,Hilton Hotels & Resorts,5,0.5828327411957598,Full Service,Full Service
Tru by Hilton Louisville Airport,SDFLA,Hilto,98.0,2018-10-11,2947.1,0.59921,1765.94,Tru by Hilton,2,1.444290975697921,Select Service,Focused Service
Tru By Hilton Tallahassee Central,TLHCN,Hilto,90.0,2018-04-04,2942.23,0.6688,1967.77,Tru by Hilton,2,1.5700735987841685,Select Service,Focused Service
Homewood Suites by Hilton Washington DC NoMa Union Station,DCANE,Hilto,114.0,2018-09-13,2927.77,0.63628,1862.89,Homewood Suites by Hilton,3,1.2334399365301485,All Suites,All Suites
Tru by Hilton Murfreesboro,BNAMF,Hilto,87.0,2017-09-18,2910.28,0.72562,2111.76,Tru by Hilton,2,1.6065765480497927,Select Service,Focused Service
"Homewood Suites Lafayette Airport, LA",LFTKS,Hilto,129.0,2014-10-28,2887.18,0.53376,1541.07,Homewood Suites by Hilton,3,1.074904921335417,All Suites,All Suites
Hampton Inn Jupiter/Juno Beach,PBIJB,Hilto,89.0,2016-12-27,2844.29,0.46817,1331.61,Hampton Inn by Hilton,2,1.534863536267221,Select Service,Focused Service
Embassy Suites by Hilton Arcadia,LAXHD,Hilto,191.0,2018-06-08,2743.98,0.6124,1680.42,Embassy Suites,4,0.6899751908861458,All Suites,All Suites
Hilton Garden Inn Saskatoon Downtown,YXESD,Hilto,180.0,2014-10-08,2743.8,0.5978,1640.24,Hilton Garden Inn,4,0.7320923143914653,Select Service,Focused Service
"Hilton Garden Inn Seattle/Bothell, WA",SEABO,Hilto,128.0,2017-05-22,2703.95,0.55916,1511.93,Hilton Garden Inn,3,1.0145526460502552,Select Service,Focused Service
Tru by Hilton Pigeon Forge,TYSPF,Hilto,102.0,2018-06-18,2654.24,0.58934,1564.24,Tru by Hilton,3,1.2497579813421504,Select Service,Focused Service
Hampton Inn Orlando International Drive/Convention Center,MCOCC,Hilto,170.0,2018-01-29,2650.46,0.69534,1842.96,Hampton Inn by Hilton,4,0.7487868932488659,Select Service,Focused Service
Hampton Inn Washington DC NoMa Union Station,DCANY,Hilto,125.0,2018-09-05,2586.22,0.63689,1647.14,Hampton Inn by Hilton,3,0.993668113881738,Select Service,Focused Service
Hilton Garden Inn Allentown Bethlehem Airport,ABEGI,Hilto,106.0,2015-01-15,2545.15,0.73726,1876.44,Hilton Garden Inn,3,1.1531702201849892,Select Service,Focused Service
Hampton Inn York,YRKPA,Hilto,144.0,2015-04-28,2541.4,0.72411,1840.25,Hampton Inn by Hilton,3,0.847610707683901,Select Service,Focused Service
Home2 Suites Parc Lafayette,LFTHT,Hilto,106.0,2016-08-03,2526.05,0.54657,1380.66,Home2 Suites by Hilton,3,1.1445162896875596,All Suites,Focused Service
Hampton Inn & Suites Blythe,BLHBL,Hilto,81.0,2016-03-30,2474.22,0.56681,1402.42,Hampton Inn & Suites by Hilton,2,1.4670306761212355,Select Service,Focused Service
Hilton Garden Inn Dallas Arlington,DFWAR,Hilto,132.0,2015-03-11,2423.73,0.7016,1700.5,Hilton Garden Inn,3,0.881853023259063,Select Service,Focused Service
Hilton Garden Inn Cincinnati Midtown,CVGMD,Hilto,120.0,2018-10-17,2416.0,0.71365,1724.17,Hilton Garden Inn,3,0.9669445831892521,Select Service,Focused Service
Hampton Inn & Suites Asheville (I-26),AVLAP,Hilto,95.0,2014-10-13,2406.1,0.61225,1473.14,Hampton Inn & Suites by Hilton,2,1.2163987599921537,Select Service,Focused Service
Hilton Garden Inn Riverhead,ISPRH,Hilto,114.0,2018-05-24,2401.89,0.62523,1501.73,Hilton Garden Inn,3,1.0118920028391567,Select Service,Focused Service
Hampton Inn & Suites Los Angeles Burbank Airport,LAXBK,Hilto,99.0,2014-11-18,2386.09,0.66842,1594.92,Hampton Inn & Suites by Hilton,2,1.1575440500210932,Select Service,Focused Service
Hilton Garden Inn Sun Prairie Madison,MSNSP,Hilto,124.0,2018-09-10,2326.47,0.60926,1417.42,Hilton Garden Inn,3,0.9010765185533136,Select Service,Focused Service
Hilton Garden Inn Tampa - Wesley Chapel,TPAWL,Hilto,124.0,2018-10-04,2298.93,0.60643,1394.13,Hilton Garden Inn,3,0.8904098659332678,Select Service,Focused Service
Hampton Inn Titusville (I-95) Kennedy Space Center,TIXFL,Hilto,86.0,2015-11-18,2294.3,0.56459,1295.35,Hampton Inn by Hilton,2,1.2812611411584214,Select Service,Focused Service
Homewood Suites by Hilton Trophy Club Fort Worth North,FTWTR,Hilto,110.0,2018-09-18,2287.01,0.62374,1426.51,Homewood Suites by Hilton,3,0.9985303723056825,All Suites,All Suites
Candlewood Suites - Fort Collins,FCLCW,IHG,83.0,2018-12-13,2284.45,0.60194,1375.1,Candlewood Suites,2,1.3218721892603646,All Suites,All Suites
Hampton Inn & Suites Tarpon Springs,TPATS,Hilto,84.0,2015-08-03,2282.46,0.53407,1218.99,Hampton Inn & Suites by Hilton,2,1.3049978319217954,Select Service,Focused Service
Homewood Suites Asheville Tunnel Road,AVLHW,Hilto,94.0,2014-10-31,2274.35,0.495,1125.81,Homewood Suites by Hilton,2,1.1620246650573174,All Suites,All Suites
Hilton Garden Inn Charlotte/Ayrsley,CLTAY,Hilto,120.0,2018-09-27,2240.34,0.71632,1604.8,Hilton Garden Inn,3,0.8966409882045568,Select Service,Focused Service
TRU by Hilton Sumter,SSCSC,Hilto,90.0,2018-08-07,2218.14,0.62562,1387.71,Tru by Hilton,2,1.1836746455603795,Select Service,Focused Service
Tru By Hilton Cheyenne,CYSND,Hilto,100.0,2017-08-14,2211.48,0.57512,1271.86,Tru by Hilton,3,1.0621085795520036,Select Service,Focused Service
Hampton Inn & Suites Glendale,LAXGL,Hilto,94.0,2017-08-14,2201.99,0.6231,1372.06,Hampton Inn & Suites by Hilton,2,1.1250540559762403,Select Service,Focused Service
TRU by Hilton Syracuse - Camillus,SYRRU,Hilto,92.0,2018-07-19,2183.39,0.61705,1347.26,Tru by Hilton,2,1.139801936450609,Select Service,Focused Service
Homewood Suites Reading,RDGPA,Hilto,119.0,2015-05-14,2173.22,0.69269,1505.37,Homewood Suites by Hilton,3,0.8770869165278589,All Suites,All Suites
Hilton Garden Inn Knoxville West Cedar Bluff,TYSKH,Hilto,118.0,2014-09-22,2112.85,0.68977,1457.37,Hilton Garden Inn,3,0.8599487299043429,Select Service,Focused Service
Hampton Inn Oneonta,ONHNJ,Hilto,106.0,2014-12-08,2104.0,0.54271,1141.86,Hampton Inn by Hilton,3,0.9532916108163437,Select Service,Focused Service
Home2 Suites by Hilton Minneapolis - Eden Prarie,MSPEN,Hilto,102.0,2018-09-06,2102.75,0.62489,1313.99,Home2 Suites by Hilton,3,0.9900870287793142,All Suites,Focused Service
Hampton Inn & Suites Palm Desert,PLMHS,Hilto,88.0,2014-10-30,2098.11,0.58733,1232.29,Hampton Inn & Suites by Hilton,2,1.1450685389647814,Select Service,Focused Service
Hilton Garden Inn Mobile West I-65/Airport Blvd.,MOBWS,Hilto,101.0,2017-02-10,2091.35,0.69105,1445.22,Hilton Garden Inn,3,0.9944689958295402,Select Service,Focused Service
Tru by Hilton Lafayette,LFTRU,Hilto,98.0,2018-10-24,2088.24,0.6492,1355.68,Tru by Hilton,2,1.0233878005807153,Select Service,Focused Service
Tru by Hilton Deadwood,RAPSD,Hilto,108.0,2018-06-28,2084.57,0.66258,1381.19,Tru by Hilton,3,0.9269976406267565,Select Service,Focused Service
Tru by Hilton Wichita Northeast,MCIWI,Hilto,98.0,2018-06-22,2029.23,0.62913,1276.64,Tru by Hilton,2,0.9944686561757294,Select Service,Focused Service
Homewood Suites Durham Chapel Hill (I-40),RDUHW,Hilto,96.0,2015-08-11,2010.89,0.4966,998.6,Homewood Suites by Hilton,2,1.0060115857250804,All Suites,All Suites
Tru by Hilton Shepherdsville Louisville South,SDFRU,Hilto,83.0,2018-12-06,1989.99,0.58767,1169.45,Tru by Hilton,2,1.1514861073370979,Select Service,Focused Service
Hampton Inn & Suites Baton Rouge Downtown,BTRDN,Hilto,137.0,2015-03-13,1988.28,0.60927,1211.39,Hampton Inn & Suites by Hilton,3,0.6970162091640375,Select Service,Focused Service
Hampton Inn Chicago McCormick Place,CHIMC,Hilto,95.0,2018-08-07,1954.5,0.6934,1355.25,Hampton Inn by Hilton,2,0.9880933362722516,Select Service,Focused Service
Hilton Garden Inn Washington DC Downtown,DCACH,Hilto,300.0,2015-09-29,1952.5,0.64277,1255.0,Hilton Garden Inn,5,0.3125760428273203,Select Service,Focused Service
Hampton Inn Waterloo,ALOIA,Hilto,101.0,2018-01-30,1925.23,0.588,1132.03,Hampton Inn by Hilton,3,0.9154763883811442,Select Service,Focused Service
Home2Suites KCI Airport,MCIKA,Hilto,91.0,2018-06-12,1909.33,0.44744,854.32,Home2 Suites by Hilton,2,1.007686650000401,All Suites,Focused Service
Homewood Suites by Hilton Syracuse/Liverpool,SYRHW,Hilto,102.0,2018-06-07,1896.56,0.55131,1045.6,Homewood Suites by Hilton,3,0.8930017621218387,All Suites,All Suites
Hilton Garden Inn Cedar Falls,ALOCF,Hilto,113.0,2018-01-12,1870.84,0.56135,1050.2,Hilton Garden Inn,3,0.7951409207116775,Select Service,Focused Service
Hilton Garden Inn Memphis Wolfchase Galleria,MEMCW,Hilto,124.0,2015-03-07,1852.67,0.64313,1191.51,Hilton Garden Inn,3,0.7175667142186092,Select Service,Focused Service
Hampton Inn & Suites Riverton,RIWWY,Hilto,89.0,2018-05-03,1849.93,0.56156,1038.85,Hampton Inn & Suites by Hilton,2,0.9982772859472205,Select Service,Focused Service
Hilton Garden Inn Jackson/Clinton,JANCL,Hilto,107.0,2018-11-08,1827.44,0.66929,1223.09,Hilton Garden Inn,3,0.8202481319722257,Select Service,Focused Service
Crowne Plaza Baltimore,IHG-BALWB,IHG,385.0,2018-06-08,1843.8,0.70362,1297.33,Crowne Plaza,5,0.2300059029609112,Full service,Full service
Hampton Inn Denver-Gateway Park,DENAP,Hilto,115.0,2016-05-30,1775.16,0.6386,1133.62,Hampton Inn by Hilton,3,0.7413538783303625,Select Service,Focused Service
TRU by Hilton York,THVPA,Hilto,106.0,2017-10-12,1771.57,0.51002,903.54,Tru by Hilton,3,0.8026724424780941,Select Service,Focused Service
Hilton Garden Inn Kennett Square,PHLKS,Hilto,92.0,2015-07-22,1765.03,0.60067,1060.2,Hilton Garden Inn,2,0.9214041522098289,Select Service,Focused Service
Hilton Dallas Plano Granite Park,DALPG,Hilto,299.0,2014-08-15,1745.36,0.58014,1012.55,Hilton Hotels & Resorts,5,0.2803494647248875,Full Service,Full Service
Hampton Inn Rapid City,RAPHA,Hilto,82.0,2018-02-08,1678.82,0.59274,995.1,Hampton Inn by Hilton,2,0.9832776844308957,Select Service,Focused Service
Hampton Inn & Suites Mount Vernon Belvoir Alexandria South Area,WASFB,Hilto,131.0,2014-12-30,1672.0,0.55972,935.86,Hampton Inn & Suites by Hilton,3,0.6129864553456964,Select Service,Focused Service
Tru by Hilton Syracuse North Airport Area,SYRAA,Hilto,93.0,2018-06-22,1666.95,0.60711,1012.02,Tru by Hilton,2,0.8608461188567206,Select Service,Focused Service
Hampton Inn & Suites Phenix City- Columbus Area,CSGPC,Hilto,81.0,2018-09-19,1650.5,0.54938,906.75,Hampton Inn & Suites by Hilton,2,0.9786252358068803,Select Service,Focused Service
Tru by Hilton Auburn,CSGAA,Hilto,98.0,2018-03-29,1622.85,0.63891,1036.86,Tru by Hilton,2,0.7953132265316314,Select Service,Focused Service
Tru by Hilton Amarillo West,AMATX,Hilto,90.0,2018-08-27,1610.5,0.51653,831.87,Tru by Hilton,2,0.859417357188902,Select Service,Focused Service
Embassy Suites Blue Ash,CVGBA,Hilto,234.0,2016-08-30,1600.5,0.71349,1141.94,Embassy Suites,5,0.32849269939599207,All Suites,All Suites
Home2 Suites Birmingham Colonnade,BHMHT,Hilto,107.0,2018-05-14,1573.46,0.53457,841.13,Home2 Suites by Hilton,3,0.7062489743756393,All Suites,Focused Service
Tru by Hilton Staunton,SHDST,Hilto,90.0,2018-11-09,1524.77,0.59991,914.72,Tru by Hilton,2,0.8136689250052295,Select Service,Focused Service
Hampton Inn Kennewick at Southridge,VSKTC,Hilto,80.0,2015-06-29,1509.75,0.53534,808.23,Hampton Inn by Hilton,2,0.9063604622123179,Select Service,Focused Service
Hilton Philadelphia City Avenue,PHLPH,Hilto,209.0,2015-09-03,1505.65,0.64536,971.69,Full Services,5,0.34599007692232747,Other,Other
Holiday Inn Express & Suites Kansas City Airport,MKCAI,IHG,109.0,2018-06-25,1476.0,0.72285,1066.92,Holiday Inn Express & Suites,3,0.6503479273288184,Other,Other
Home2 Suites by Hilton Dallas Grand Prairie,DFWGP,Hilto,96.0,2018-10-17,1450.6,0.61203,887.81,Home2 Suites by Hilton,2,0.7257087191506255,All Suites,Focused Service
Home2 Suites by Hilton Fort Worth Northlake,DFWNL,Hilto,104.0,2018-09-26,1447.5,0.65621,949.86,Home2 Suites by Hilton,3,0.6684533960295669,All Suites,Focused Service
