Property Name,Property Code,Brand,#Rooms,Activation Date,Revenue,Profit Margin,Gross Profit,Flag,Size Subset,SPOR,Group,Type
Hampton Inn & Suites Lincoln Northeast I-80,LNKNH,Hilto,83.0,2015-05-19,1685.2,0.68441,1153.37,Hampton Inn & Suites by Hilton,2,0.9751226830710091,Select Service,Focused Service
Hampton Inn Charleston Southridge,CRWSO,Hilto,139.0,2015-06-17,1676.88,0.48597,814.91,Hampton Inn by Hilton,3,0.5793927888388178,Select Service,Focused Service
"Home2 Suites by Hilton Columbus, GA",CSGBP,Hilto,81.0,2018-11-20,1650.09,0.61158,1009.16,Home2 Suites by Hilton,2,0.9783821359300667,All Suites,Focused Service
Hilton Garden Inn Bristol,TRIGI,Hilto,104.0,2015-04-03,1646.15,0.66046,1087.21,Hilton Garden Inn,3,0.7601896772877869,Select Service,Focused Service
Tru by Hilton Lawrence,LWCNE,Hilto,82.0,2018-12-19,1645.82,0.53971,888.26,Tru by Hilton,2,0.9639497257538371,Select Service,Focused Service
Hampton Inn & Suites Tarpon Springs,TPATS,Hilto,84.0,2015-08-03,1629.06,0.54899,894.33,Hampton Inn & Suites by Hilton,2,0.9314160020637908,Select Service,Focused Service
Tru by Hilton Bryan College Station,CLLCS,Hilto,98.0,2018-08-27,1581.24,0.69791,1103.56,Tru by Hilton,2,0.7749213336542976,Select Service,Focused Service
Hampton Inn Harrisburg West,HRBPA,Hilto,129.0,2015-04-30,1556.07,0.64373,1001.69,Hampton Inn by Hilton,3,0.579329068829239,Select Service,Focused Service
Hampton Inn & Suites Fort Lauderdale Miramar,FLLMM,Hilto,122.0,2015-07-23,1553.25,0.69024,1072.12,Hampton Inn & Suites by Hilton,3,0.6114591278791821,Select Service,Focused Service
Holiday Inn Express & Suites Kansas City Airport,MKCAI,IHG,109.0,2018-06-25,1544.5,0.73841,1140.47,Holiday Inn Express & Suites,3,0.6805300635226016,Other,Other
Hampton Inn & Suites Palm Desert,PLMHS,Hilto,88.0,2014-10-30,1539.71,0.59036,908.98,Hampton Inn & Suites by Hilton,2,0.8403150836369225,Select Service,Focused Service
Homewood Suites Poplar,MEMPO,Hilto,140.0,2013-12-16,1538.25,0.53533,823.47,Homewood Suites by Hilton,3,0.5276971990625119,All Suites,All Suites
Hilton Garden Inn Kennett Square,PHLKS,Hilto,92.0,2015-07-22,1523.01,0.68282,1039.94,Hilton Garden Inn,2,0.7950616917882933,Select Service,Focused Service
Home2 Suites by Hilton Minneapolis - Eden Prarie,MSPEN,Hilto,102.0,2018-09-06,1509.0,0.60798,917.44,Home2 Suites by Hilton,3,0.7105178106898039,All Suites,Focused Service
Hampton Inn Waterloo,ALOIA,Hilto,101.0,2018-01-30,1500.93,0.5647,847.57,Hampton Inn by Hilton,3,0.7137152317452516,Select Service,Focused Service
Tru by Hilton Shepherdsville Louisville South,SDFRU,Hilto,83.0,2018-12-06,1476.86,0.65509,967.47,Tru by Hilton,2,0.8545690041064861,Select Service,Focused Service
"Tru by Hilton Jackson, MI",LANJA,Hilto,93.0,2018-08-20,1409.29,0.66221,933.24,Tru by Hilton,2,0.7277853725928118,Select Service,Focused Service
Hampton Inn & Suites Riverton,RIWWY,Hilto,89.0,2018-05-03,1404.31,0.53622,753.02,Hampton Inn & Suites by Hilton,2,0.7578074713251535,Select Service,Focused Service
Homewood Suites by Hilton Denver International Airport,DENIP,Hilto,117.0,2016-05-30,1403.03,0.57595,808.07,Homewood Suites by Hilton,3,0.5759264130378741,All Suites,All Suites
Hotel MdR Marina Del Ray - a DoubleTree by Hilton,LAXMA,Hilto,283.0,2018-01-23,1402.79,0.62723,879.87,DoubleTree by Hilton,5,0.23806312308731847,Full Service,Full Service
Hampton Inn & Suites DuPont,SEADP,Hilto,115.0,2015-08-13,1399.6,0.67302,941.96,Hampton Inn & Suites by Hilton,3,0.5845100656341824,Select Service,Focused Service
Homewood Suites Reno,RNOHW,Hilto,96.0,2015-08-09,1394.85,0.62064,865.7,Homewood Suites by Hilton,2,0.6978180111038536,All Suites,All Suites
Tru by Hilton Williamsville Buffalo Airport,BUFRU,Hilto,79.0,2018-04-04,1365.16,0.53306,727.71,Tru by Hilton,1,0.8299317213429287,Select Service,Focused Service
Tru by Hilton Auburn,CSGAA,Hilto,98.0,2018-03-29,1347.59,0.70001,943.33,Tru by Hilton,2,0.6604160279395885,Select Service,Focused Service
Candlewood Suites - Fort Collins,FCLCW,IHG,83.0,2018-12-13,1314.75,0.65077,855.6,Candlewood Suites,2,0.7607658127033048,All Suites,All Suites
Home2 Suites by Hilton Chicago McCormick Place,CHIMI,Hilto,95.0,2018-08-07,1296.25,0.7121,923.06,Home2 Suites by Hilton,2,0.6553164426415483,All Suites,Focused Service
Hampton Inn Magnolia,AGOSN,Hilto,68.0,2018-04-03,1274.35,0.63268,806.26,Hampton Inn by Hilton,1,0.9000480835512442,Select Service,Focused Service
Hampton Inn Eufaula,EUFHX,Hilto,78.0,2018-09-24,1258.94,0.5877,739.88,Hampton Inn by Hilton,1,0.7751688828071045,Select Service,Focused Service
Homewood Suites by Hilton Hillsboro/Beaverton,PDXBT,Hilto,123.0,2018-05-02,1249.57,0.69197,864.67,Homewood Suites by Hilton,3,0.48791186513317464,All Suites,All Suites
Hampton Inn Henderson,HDSNC,Hilto,75.0,2018-09-26,1248.1,0.57165,713.48,Hampton Inn by Hilton,1,0.7992341286612619,Select Service,Focused Service
Homewood Suites by Hilton Ottawa Downtown,YOWQS,Hilto,171.0,2018-12-31,1245.9,0.52505,654.16,Homewood Suites by Hilton,4,0.34992339264421085,All Suites,All Suites
Hampton Inn Denver-Gateway Park,DENAP,Hilto,115.0,2016-05-30,1204.83,0.62977,758.76,Hampton Inn by Hilton,3,0.5031689499700143,Select Service,Focused Service
Hampton Inn Montrose,MTJCO,Hilto,64.0,2017-12-19,1181.42,0.5993,708.02,Hampton Inn by Hilton,1,0.8865643130210934,Select Service,Focused Service
Home2Suites KCI Airport,MCIKA,Hilto,91.0,2018-06-12,1155.71,0.56379,651.58,Home2 Suites by Hilton,2,0.6099487978882453,All Suites,Focused Service
Hampton Inn & Suites Lake Jackson Clute,LJNCL,Hilto,67.0,2015-08-26,1034.38,0.54338,562.06,Hampton Inn & Suites by Hilton,1,0.7414659518330277,Select Service,Focused Service
Hampton Inn Orlando-Maingate South,MCOSW,Hilto,83.0,2018-02-08,1013.64,0.60645,614.72,Hampton Inn by Hilton,2,0.5865317804818998,Select Service,Focused Service
Home2 Suites by Hilton Plymouth Minneapolis,MSPPL,Hilto,102.0,2018-08-22,1003.5,0.62284,625.02,Home2 Suites by Hilton,3,0.47250140691001874,All Suites,Focused Service
Tru by Hilton Wichita Northeast,MCIWI,Hilto,98.0,2018-06-22,911.11,0.62361,568.18,Tru by Hilton,2,0.446509433296506,Select Service,Focused Service
Hilton Garden Inn Wilkes Barre,AVPWI,Hilto,123.0,2015-06-02,827.62,0.66381,549.38,Hilton Garden Inn,3,0.32315565980418703,Select Service,Focused Service
Hampton Inn Winchester-University/Mall Area,WNCVA,Hilto,101.0,2018-03-13,770.87,0.51238,394.98,Hampton Inn by Hilton,3,0.36656050628307923,Select Service,Focused Service
Comfort Suites Downtown Orlando,FL094,Choic,122.0,2017-07-13,757.25,0.57244,433.48,Comfort Suites,3,0.2981023174546986,Other,Other
